NIC;Estrato;Personas;Ingresos;Gastos;Cartera;QSAT;ProbPago;Consumo
2562006;2;4;2161689.22;1795697.12;0;78;0.211;331535
1735226;4;6;6913956.15;6022923.75;1;79;0.134;693154
1248373;1;2;7735770.74;7071296.31;0;64;0.522;622851
1282443;2;3;2727414.72;2314798.62;1;74;0.705;409615
2583195;2;4;2246022.55;1891315.2;1;49;0.301;320271
1337487;1;6;10532407.32;8815949.8;0;73;0.664;855420
2645419;1;4;8221978.8;7186848.76;1;63;0.502;706594
1435581;4;3;4208190.16;3620028.72;0;70;0.357;431121
2173267;3;5;12393850;10423153.8;0;55;0.48;1089792
1519335;1;5;3532501.83;3130961.4;1;74;0.305;513648
1821969;1;4;4231415.76;3739981.48;1;41;0.315;490071
2357279;4;6;7041383.77;6082732.98;0;74;0.144;810224
2694194;1;2;2052061;1873403.8;1;45;0.984;383540
1793642;1;2;8484508.62;7512717.52;0;83;0.841;612774
1890266;4;4;7664101.2;6907370.4;0;64;0.972;814088
2128215;1;3;5654761.46;4829245.44;0;75;0.942;447272
2382691;1;5;3548566.8;2827483.12;1;62;0.681;543144
2084070;1;5;5311503.84;4586063.82;1;46;0.794;536129
2306271;4;5;4209594.24;3504271.54;0;92;0.314;417450
2194702;1;4;5738527.16;4996645;0;55;0.731;577200
1354764;4;2;1439301.68;1261193.7;0;52;0.66;260832
1305669;4;6;15285180.47;15149191.3;0;60;0.575;1341420
2110703;3;2;5306892.3;4881613.52;1;73;0.827;429318
2686347;4;4;7750932.2;7471183.16;0;41;0.117;780044
2726696;2;2;7014757.8;5892937.44;1;59;0.254;656236
1292334;4;3;8007718.04;7022571.15;0;59;0.821;898518
2771740;4;3;4245189;3495647.33;1;67;0.158;657624
2495459;3;2;16363981.04;14901196.7;1;74;0.944;1251992
1327955;4;6;4245206.85;3359837.29;0;45;0.481;385206
1755220;2;3;6391527.48;6044578.33;0;40;0.129;817275
1387908;2;4;4007160.4;3528512.4;1;44;0.81;713009
2976629;2;5;10949817.84;9941954.22;0;49;0.559;948967
1503173;3;3;9714685.75;8945609.16;0;65;0.174;942480
1513819;2;3;1565683.62;1295019.2;1;71;0.644;233520
2406570;4;3;11836712.5;10966891.49;1;57;0.689;1154120
1729691;1;3;2100789.7;1861816.64;0;47;0.111;378056
2498381;2;5;8302936.97;7399676.62;0;65;0.85;600404
1996469;2;5;4025656.8;3455100;1;92;0.579;422356
1547114;1;3;1439973.6;1236379.14;1;60;0.305;234916
1977513;1;4;2755484.3;2300397.5;1;61;0.402;279256
1238547;1;2;16646862.82;13891956.26;1;51;0.526;1300584
1383888;3;6;3486295.25;3055692.64;0;64;0.483;596580
1562856;2;4;4180845.24;3742573.12;1;85;0.455;620100
1795732;1;5;5319422.4;4823941.64;0;78;0.56;487648
2410720;1;2;4254456.96;3705838.37;0;52;0.636;729570
