CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book
814765533,Attrited Customer,44,F,4,High School,Single,$40K - $60K,Blue,39
711330408,Existing Customer,35,F,2,College,Married,$40K - $60K,Blue,24
788842008,Existing Customer,50,F,3,Uneducated,Married,Less than $40K,Blue,34
720349983,Existing Customer,32,F,1,Unknown,Divorced,Less than $40K,Blue,19
717916758,Existing Customer,67,F,0,Unknown,Married,Unknown,Blue,56
716670783,Existing Customer,52,F,3,Doctorate,Single,Unknown,Blue,36
717355533,Existing Customer,56,M,3,Graduate,Single,$120K +,Blue,44
709273383,Existing Customer,54,F,0,Unknown,Married,Unknown,Blue,36
720952608,Existing Customer,44,F,2,High School,Single,Less than $40K,Blue,29
820648608,Existing Customer,46,F,2,Post-Graduate,Married,Less than $40K,Blue,41
792524358,Existing Customer,55,M,3,High School,Single,$80K - $120K,Gold,49
803796708,Attrited Customer,52,M,3,Uneducated,Unknown,$120K +,Blue,46
771653583,Existing Customer,58,M,1,High School,Married,$60K - $80K,Blue,46
789319458,Existing Customer,48,M,5,Uneducated,Single,$60K - $80K,Blue,38
714148758,Existing Customer,34,F,2,Post-Graduate,Married,Less than $40K,Blue,27
720605808,Attrited Customer,53,F,1,Graduate,Single,Less than $40K,Blue,36
710061783,Attrited Customer,49,M,1,Graduate,Married,$40K - $60K,Blue,40
772166058,Existing Customer,31,M,1,Unknown,Single,$40K - $60K,Blue,20
708688608,Existing Customer,62,F,1,High School,Married,Less than $40K,Blue,48
806694333,Existing Customer,44,F,4,Unknown,Married,Less than $40K,Blue,39
714967233,Attrited Customer,52,M,2,Doctorate,Married,$120K +,Blue,34
818929158,Existing Customer,36,M,2,Doctorate,Single,$40K - $60K,Blue,31
779072733,Existing Customer,36,F,2,College,Married,Less than $40K,Blue,17
788896983,Existing Customer,53,M,2,Graduate,Married,$60K - $80K,Blue,38
