date,hourlyvisibility,hourlydrybulbtempf,hourlywetbulbtempf,hourlydewpointtempf,hourlyrelativehumidity,hourlystationpressure,hourlysealevelpressure,hourlyprecip,hourlyaltimetersetting,dailyheatingdegreedays,dailycoolingdegreedays,hourlycoolingdegrees,demand,hourlyskyconditions_CLR
2015-07-01 08:00:00,10.0,74.0,67.0,63.0,69.0,29.73,29.92,0.0,29.93,0.0,10.0,2.0,3298.0,1.0
2015-07-01 09:00:00,10.0,77.0,69.0,64.0,64.0,29.73,29.92,0.0,29.93,0.0,10.0,4.0,3045.0,0.0
2015-07-01 10:00:00,10.0,82.0,70.0,63.0,53.0,29.72,29.91,0.0,29.91,0.0,10.0,5.0,2892.0,1.0
2015-07-01 11:00:00,10.0,84.0,69.0,61.0,46.0,29.68,29.88,0.0,29.88,0.0,10.0,4.0,2787.0,1.0
2015-07-01 12:00:00,10.0,81.0,68.0,61.0,51.0,29.68,29.86,0.0,29.87,0.0,10.0,3.0,2790.0,1.0
2015-07-01 13:00:00,10.0,80.0,68.0,61.0,52.0,29.7,29.89,0.0,29.9,0.0,10.0,3.0,2899.0,1.0
2015-07-01 14:00:00,10.0,78.0,67.0,61.0,56.0,29.7,29.89,0.0,29.89,0.0,10.0,2.0,3097.0,1.0
2015-07-01 15:00:00,10.0,77.0,66.0,59.0,54.0,29.68,29.87,0.0,29.88,0.0,10.0,1.0,3403.0,1.0
2015-07-01 16:00:00,10.0,77.0,66.0,59.0,54.0,29.68,29.87,0.0,29.87,0.0,10.0,1.0,3732.0,1.0
2015-07-01 17:00:00,10.0,74.0,65.0,60.0,62.0,29.7,29.88,0.0,29.89,0.0,10.0,0.0,3964.0,1.0
2015-07-01 18:00:00,10.0,72.0,65.0,60.0,66.0,29.73,29.91,0.0,29.92,0.0,10.0,0.0,4159.0,1.0
2015-07-01 19:00:00,10.0,69.0,65.0,62.0,78.0,29.73,29.93,0.0,29.93,0.0,10.0,0.0,4427.0,1.0
2015-07-01 20:00:00,10.0,69.0,65.0,63.0,81.0,29.75,29.93,0.0,29.94,0.0,10.0,0.0,4581.0,1.0
2015-07-01 21:00:00,10.0,69.0,65.0,62.0,78.0,29.75,29.94,0.0,29.95,0.0,10.0,0.0,4649.0,1.0
2015-07-01 22:00:00,10.0,69.0,65.0,62.0,78.0,29.75,29.94,0.0,29.94,0.0,10.0,0.0,4730.0,1.0
2015-07-01 23:00:00,10.0,69.0,65.0,62.0,78.0,29.75,29.94,0.0,29.95,0.0,10.0,0.0,4829.0,1.0
2015-07-02 00:00:00,10.0,70.0,65.0,62.0,76.0,29.75,29.94,0.0,29.94,0.0,9.0,0.0,4709.0,1.0
2015-07-02 01:00:00,10.0,69.0,65.0,62.0,78.0,29.75,29.94,0.0,29.94,0.0,9.0,0.0,4532.0,0.0
2015-07-02 02:00:00,10.0,69.0,64.0,61.0,76.0,29.73,29.93,0.0,29.93,0.0,9.0,0.0,4332.0,1.0
2015-07-02 03:00:00,10.0,70.0,64.0,61.0,73.0,29.75,29.93,0.0,29.94,0.0,9.0,0.0,4159.0,1.0
2015-07-02 04:00:00,10.0,69.0,65.0,62.0,78.0,29.75,29.94,0.0,29.95,0.0,9.0,0.0,4149.0,1.0
2015-07-02 05:00:00,10.0,71.0,65.0,62.0,73.0,29.78,29.96,0.0,29.97,0.0,9.0,0.0,4036.0,1.0
2015-07-02 06:00:00,10.0,71.0,65.0,61.0,71.0,29.78,29.98,0.0,29.98,0.0,9.0,0.0,3772.0,1.0
2015-07-02 07:00:00,10.0,71.0,65.0,61.0,71.0,29.8,29.99,0.0,29.99,0.0,9.0,0.0,3448.0,0.0
2015-07-02 08:00:00,10.0,72.0,65.0,61.0,68.0,29.8,29.98,0.0,29.99,0.0,9.0,0.0,3141.0,1.0
2015-07-02 09:00:00,10.0,77.0,68.0,63.0,62.0,29.78,29.98,0.0,29.98,0.0,9.0,3.0,2935.0,1.0
2015-07-02 10:00:00,10.0,82.0,69.0,62.0,51.0,29.78,29.97,0.0,29.98,0.0,9.0,4.0,2802.0,1.0
2015-07-02 11:00:00,10.0,82.0,70.0,63.0,53.0,29.78,29.96,0.0,29.97,0.0,9.0,5.0,2704.0,1.0
2015-07-02 12:00:00,10.0,83.0,70.0,62.0,49.0,29.76,29.95,0.0,29.96,0.0,9.0,5.0,2700.0,1.0
2015-07-02 13:00:00,10.0,79.0,68.0,62.0,56.0,29.75,29.95,0.0,29.95,0.0,9.0,3.0,2820.0,1.0
2015-07-02 14:00:00,10.0,82.0,69.0,61.0,49.0,29.73,29.92,0.0,29.92,0.0,9.0,4.0,3041.0,1.0
